dept,course,semester,desc,section,code,openseats,enroll,prilimit,seclimit,comments,special,credits,hours,division,teacher1,teacher2,teacher3,teacher4,teacher5,teacher6,time1,time2,time3,time4,time5,time6,sortday,sortday2,sorttime,sortampm,room1,room2,room3,room4,room5,room6
"ACCT","100","2010 (4) Fall","Fin & Mgr Acct","3M3W","0039","2","28","30","30","","","3","4","","Barker, Joel","","","","","","M,W  3:05-4:20 PM","","","","","","2","4","3:05-4:20","PM","HH/17","","","","","","28",
"ACCT","100","2010 (4) Fall","Fin & Mgr Acct","E4MBA","0025","0","30","30","30","","","3","4","","Barker, Joel","","","","","","M,W  4:30-5:45 PM","","","","","","2","4","4:30-5:45","PM","HH/17","","","","","","30",
"ACCT","100","2010 (4) Fall","Fin & Mgr Acct","AT3RB","0055","1","30","31","31","","","3","4","","Milo, Michael","","","","","","T,TH 10:50-12:05 PM","","","","","","3","5","10:50-12:05","PM","RZ/347","","","","","","30",
"ACCT","101","2010 (4) Fall","Int Th & Pr 1","E6F4A","3138","31","14","45","70","APPROXIMATELY 20% OF THE CLASS MEETINGS WILL BE ONLINE.","","3","4","","Solarsh, Eva","","","","","","F  6:30-10:30 PM","","","","","","6","0","6:30-10:30","PM","PH/130","","","","","","14",
"ACCT","101","2010 (4) Fall","Int Th & Pr 1","E4QMA","2889","1","49","50","50","","","3","4","","Erlach, David","","","","","","M,W  4:00-5:40 PM","","","","","","2","4","4:00-5:40","PM","SB/B137","","","","","","49",
"ACCT","101","2010 (4) Fall","Int Th & Pr 1","E6QMA","3135","5","40","45","55","","","3","4","","Ruthizer, Scott","","","","","","M,W  6:15-7:55 PM","","","","","","2","4","6:15-7:55","PM","PH/110","","","","","","40",
"ACCT","101","2010 (4) Fall","Int Th & Pr 1","E8QMA","3136","36","4","40","45","","","3","4","","Cohen, Michael","","","","","","M,W  8:10-9:50 PM","","","","","","2","4","8:10-9:50","PM","RZ/174","","","","","","4",
"ACCT","101","2010 (4) Fall","Int Th & Pr 1","8M4WA","2884","12","48","60","70","","","3","4","","Dauber, Nicky","","","","","","M,W  8:15-10:05 AM","","","","","","2","4","8:15-10:05","AM","PH/130","","","","","","48",
"ACCT","101","2010 (4) Fall","Int Th & Pr 1","AM4WA","2886","0","30","30","30","","","3","4","","Solarsh, Eva","","","","","","M,W 10:15-12:05 PM","","","","","","2","4","10:15-12:05","PM","KY/220","","","","","","30",
"ACCT","101","2010 (4) Fall","Int Th & Pr 1","8S4A","3140","25","20","45","45","","","3","4","","Pilato, Biagio","","","","","","S  8:00-12:00 PM","","","","","","7","0","8:00-12:00","PM","PH/156","","","","","","20",
"ACCT","101","2010 (4) Fall","Int Th & Pr 1","8U4A","3141","38","7","45","45","","","3","4","","Silverman, Arthur","","","","","","SU  8:00-12:00 PM","","","","","","0","0","8:00-12:00","PM","PH/155","","","","","","7",
"ACCT","101","2010 (4) Fall","Int Th & Pr 1","E4TPA","2910","4","36","40","45","","","3","4","","Pilato, Biagio","","","","","","T,TH  4:30-6:20 PM","","","","","","3","5","4:30-6:20","PM","KY/420","","","","","","36",
"ACCT","101","2010 (4) Fall","Int Th & Pr 1","E8QTA","3137","30","10","40","45","","","3","4","",", ","","","","","","T,TH  8:10-9:50 PM","","","","","","3","5","8:10-9:50","PM","RZ/174","","","","","","10",
"ACCT","101","2010 (4) Fall","Int Th & Pr 1","AT4RA","2900","3","37","40","45","","","3","4","","Farrelly, Aileen","","","","","","T,TH 10:15-12:05 PM","","","","","","3","5","10:15-12:05","PM","RZ/174","","","","","","37",
"ACCT","101","2010 (4) Fall","Int Th & Pr 1","CT4RA","2893","1","39","40","45","","","3","4","","Farrelly, Aileen","","","","","","T,TH 12:15-2:05 PM","","","","","","3","5","12:15-2:05","AM","RZ/174","","","","","","39",
"ACCT","101","2010 (4) Fall","Int Th & Pr 1","AW4FA","2891","41","39","80","80","","","3","4","","Erlach, David","","","","","","W 10:15-12:05 PM","F 10:15-12:05 PM","","","","","4","0","10:15-12:05","PM","PH/112","SB/B137","","","","","39",
"ACCT","102","2010 (4) Fall","Int Th & Pr 2","E6F4A","3144","22","23","45","55","","","3","4","","Benjamin, Ranjitkumar","","","","","","F  6:30-10:30 PM","","","","","","6","0","6:30-10:30","PM","PH/110","","","","","","23",
"ACCT","102","2010 (4) Fall","Int Th & Pr 2","1M4WA","2917","15","45","60","60","","","3","4","","Erlach, David","","","","","","M,W  1:40-3:30 PM","","","","","","2","4","1:40-3:30","PM","SB/B137","","","","","","45",
"ACCT","102","2010 (4) Fall","Int Th & Pr 2","E8QMA","3142","5","40","45","55","","","3","4","","Ruthizer, Scott","","","","","","M,W  8:10-9:50 PM","","","","","","2","4","8:10-9:50","PM","PH/110","","","","","","40",
"ACCT","102","2010 (4) Fall","Int Th & Pr 2","8S4A","3145","40","5","45","55","","","3","4","","Staff, ","","","","","","S  8:00-12:00 PM","","","","","","7","0","8:00-12:00","PM","PH/110","","","","","","5",
"ACCT","102","2010 (4) Fall","Int Th & Pr 2","1U4A","3148","24","21","45","45","A MAJORITY OF THE CLASS MEETINGS WILL BE ONLINE.","","3","4","","David, Amy","","","","","","SU  1:00-5:00 PM","","","","","","0","0","1:00-5:00","PM","PH/108","","","","","","21",
"ACCT","102","2010 (4) Fall","Int Th & Pr 2","8U4A","3147","33","12","45","55","","","3","4","","Benjamin, Ranjitkumar","","","","","","SU  8:00-12:00 PM","","","","","","0","0","8:00-12:00","PM","PH/112","","","","","","12",
"ACCT","102","2010 (4) Fall","Int Th & Pr 2","E6QTA","3143","5","35","40","45","","","3","4","","Silverman, Arthur","","","","","","T,TH  6:15-7:55 PM","","","","","","3","5","6:15-7:55","PM","RZ/174","","","","","","35",
